03-12 17:01:45.655  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:45.658  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:46.880  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:46.881  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:46.881  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:46.883  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:48.120  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:48.121  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:48.122  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:48.129  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:49.340  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:49.340  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:49.341  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:49.344  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:50.567  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:50.568  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:50.568  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:50.571  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:51.183  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:51.183  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:51.184  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:51.187  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:51.808  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:51.808  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:51.809  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:51.811  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:53.026  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:53.027  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:53.027  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:53.029  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:54.254  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:54.255  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:54.255  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:54.259  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:55.171  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:55.172  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:55.173  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:55.175  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:55.331  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:55.331  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:55.331  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:55.333  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:55.724  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:55.725  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:55.725  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:55.732  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:56.711  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:56.711  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:56.711  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:56.715  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:57.943  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:57.943  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:57.943  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:57.946  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:59.171  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:59.171  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:59.171  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:01:59.173  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:00.400  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:00.400  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:00.400  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:00.404  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:01.632  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:01.632  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:01.632  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:01.634  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:02.542  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:02.542  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:02.542  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:02.544  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:02.792  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:02.792  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:02.793  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:02.796  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:04.090  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:04.091  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:04.091  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:04.093  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:05.322  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:05.322  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:05.323  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:05.324  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:06.244  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:06.245  1158  1375 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:06.245  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:06.248  2263  2448 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:06.408  1156  1378 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
03-12 17:02:06.408  1165  1412 E spcomlib: [spcom_ioctl] IOCTL failed: ret[-1], error [-4]
